iter	Passed	Remaining
0	55	55037
1	58	29387
2	62	20655
3	63	15834
4	64	12888
5	68	11318
6	71	10121
7	73	9057
8	76	8402
9	76	7615
10	79	7143
11	83	6873
12	86	6587
13	90	6407
14	92	6081
15	94	5787
16	96	5597
17	99	5430
18	102	5302
19	105	5166
20	109	5116
21	112	4984
22	113	4836
23	116	4757
24	118	4609
25	120	4513
26	124	4492
27	125	4359
28	143	4809
29	153	4976
30	196	6156
31	200	6073
32	206	6051
33	212	6040
34	218	6038
35	221	5934
36	222	5792
37	225	5711
38	229	5666
39	232	5587
40	233	5469
41	234	5353
42	235	5246
43	237	5158
44	240	5093
45	243	5053
46	245	4987
47	248	4926
48	249	4838
49	251	4781
50	253	4717
51	257	4685
52	258	4617
53	261	4580
54	262	4514
55	266	4485
56	267	4430
57	268	4359
58	270	4315
59	271	4258
60	274	4229
61	277	4199
62	280	4171
63	284	4160
64	287	4131
65	290	4106
66	291	4052
67	292	4015
68	296	3999
69	296	3944
70	297	3892
71	300	3878
72	302	3843
73	303	3797
74	303	3747
75	305	3715
76	306	3669
77	307	3631
78	328	3831
79	330	3804
80	336	3815
81	338	3786
82	340	3761
83	352	3842
84	356	3839
85	357	3799
86	362	3804
87	364	3778
88	366	3756
89	368	3730
90	373	3730
91	377	3729
92	380	3706
93	381	3680
94	382	3648
95	384	3624
96	387	3609
97	389	3586
98	392	3568
99	394	3554
100	396	3533
101	398	3505
102	401	3498
103	404	3482
104	405	3460
105	407	3438
106	410	3424
107	412	3405
108	414	3384
109	416	3370
110	417	3347
111	419	3329
112	422	3316
113	424	3302
114	426	3284
115	428	3268
116	430	3250
117	434	3244
118	435	3227
119	436	3200
120	439	3189
121	440	3173
122	442	3157
123	445	3147
124	447	3132
125	449	3117
126	450	3100
127	453	3088
128	455	3073
129	457	3059
130	459	3045
131	460	3025
132	460	3002
133	462	2988
134	464	2976
135	466	2963
136	468	2953
137	470	2939
138	471	2921
139	473	2911
140	475	2894
141	477	2887
142	480	2878
143	482	2866
144	484	2858
145	486	2847
146	489	2837
147	491	2831
148	492	2811
149	495	2805
150	496	2793
151	497	2775
152	499	2764
153	501	2753
154	503	2742
155	505	2732
156	506	2721
157	508	2711
158	510	2702
159	512	2692
160	515	2687
161	517	2678
162	521	2675
163	524	2671
164	526	2664
165	528	2655
166	530	2645
167	532	2636
168	534	2626
169	537	2622
170	540	2618
171	543	2617
172	545	2609
173	547	2599
174	549	2592
175	552	2586
176	554	2577
177	556	2568
178	557	2555
179	559	2549
180	561	2540
181	563	2534
182	565	2526
183	568	2520
184	570	2513
185	572	2504
186	574	2497
187	576	2489
188	576	2475
189	579	2469
190	581	2464
191	583	2456
192	586	2452
193	588	2444
194	590	2438
195	593	2434
196	595	2426
197	599	2426
198	602	2424
199	604	2419
200	607	2414
201	610	2413
202	613	2406
203	615	2400
204	617	2393
205	619	2386
206	621	2381
207	624	2376
208	626	2372
209	629	2368
210	633	2367
211	637	2368
212	640	2364
213	644	2368
214	648	2368
215	651	2363
216	653	2357
217	654	2348
218	657	2344
219	659	2338
220	662	2335
221	666	2336
222	670	2337
223	675	2339
224	677	2332
225	681	2333
226	684	2330
227	688	2331
228	691	2328
229	692	2319
230	696	2317
231	698	2313
232	700	2307
233	702	2299
234	705	2296
235	706	2286
236	707	2279
237	712	2280
238	715	2276
239	717	2272
240	719	2267
241	722	2262
242	724	2255
243	726	2250
244	729	2246
245	731	2241
246	733	2235
247	735	2230
248	739	2231
249	743	2230
250	745	2225
251	748	2223
252	750	2217
253	753	2212
254	755	2206
255	757	2200
256	759	2195
257	761	2189
258	762	2181
259	765	2177
260	767	2173
261	770	2169
262	773	2167
263	776	2163
264	777	2157
265	780	2154
266	783	2149
267	785	2144
268	787	2139
269	789	2135
270	791	2130
271	794	2125
272	796	2122
273	798	2116
274	801	2113
275	804	2109
276	807	2108
277	810	2104
278	813	2101
279	815	2096
280	816	2088
281	818	2083
282	820	2079
283	822	2074
284	825	2070
285	827	2066
286	830	2062
287	832	2057
288	834	2052
289	834	2044
290	836	2039
291	838	2033
292	841	2030
293	843	2025
294	845	2020
295	847	2016
296	850	2012
297	852	2007
298	854	2002
299	856	1998
300	858	1993
301	860	1988
302	861	1982
303	863	1977
304	865	1972
305	867	1967
306	870	1965
307	872	1960
308	874	1955
309	876	1950
310	877	1943
311	879	1938
312	881	1935
313	883	1931
314	886	1926
315	888	1923
316	889	1916
317	891	1911
318	893	1908
319	896	1905
320	898	1900
321	900	1897
322	902	1892
323	904	1887
324	907	1884
325	909	1881
326	912	1877
327	913	1872
328	915	1867
329	919	1866
330	919	1859
331	922	1856
332	925	1853
333	928	1851
334	930	1846
335	932	1842
336	933	1836
337	935	1832
338	936	1826
339	938	1822
340	941	1819
341	945	1818
342	947	1814
343	948	1809
344	952	1808
345	955	1806
346	957	1802
347	960	1798
348	962	1794
349	964	1791
350	967	1788
351	969	1785
352	973	1783
353	976	1781
354	980	1781
355	982	1777
356	984	1773
357	986	1769
358	988	1764
359	989	1758
360	991	1755
361	994	1753
362	996	1748
363	999	1745
364	1002	1743
365	1004	1739
366	1007	1737
367	1010	1734
368	1012	1731
369	1014	1727
370	1018	1726
371	1020	1722
372	1023	1720
373	1026	1718
374	1029	1715
375	1031	1712
376	1034	1709
377	1036	1705
378	1038	1702
379	1041	1698
380	1044	1696
381	1046	1692
382	1048	1689
383	1050	1685
384	1053	1682
385	1056	1680
386	1059	1677
387	1061	1673
388	1063	1669
389	1065	1666
390	1067	1662
391	1068	1657
392	1070	1653
393	1074	1652
394	1076	1649
395	1079	1647
396	1083	1645
397	1085	1641
398	1085	1635
399	1087	1631
400	1088	1626
401	1091	1623
402	1094	1621
403	1098	1619
404	1101	1618
405	1106	1619
406	1110	1617
407	1112	1614
408	1114	1611
409	1116	1607
410	1117	1601
411	1119	1597
412	1121	1594
413	1123	1590
414	1126	1587
415	1128	1583
