,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,BABA,BIDU,GOOGL,META,AAPL,AMZN,BABA,BIDU,GOOGL,META,AAPL,AMZN,BABA,BIDU,GOOGL,META,AAPL,AMZN,BABA,BIDU,GOOGL,META,AAPL,AMZN,BABA,BIDU,GOOGL,META,AAPL,AMZN,BABA,BIDU,GOOGL,META
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,179.95387268066406,170.4044952392578,120.37999725341797,149.10000610351562,144.9915008544922,338.5400085449219,182.00999450683594,170.4044952392578,120.37999725341797,149.10000610351562,144.9915008544922,338.5400085449219,182.8800048828125,170.70350646972656,121.94999694824219,149.9600067138672,145.8509979248047,341.0799865722656,177.7100067138672,166.16050720214844,115.81999969482422,144.9499969482422,143.71299743652344,337.19000244140625,177.8300018310547,167.5500030517578,119.37999725341797,148.91000366210938,145.05499267578125,338.29998779296875,104487900,63520000,16775300,2329000,28646000,14537900
2022-01-04,177.66998291015625,167.52200317382812,119.55999755859375,146.52999877929688,144.39950561523438,336.5299987792969,179.6999969482422,167.52200317382812,119.55999755859375,146.52999877929688,144.39950561523438,336.5299987792969,182.94000244140625,171.39999389648438,120.87000274658203,148.42999267578125,146.48500061035156,343.0899963378906,179.1199951171875,166.34950256347656,115.7699966430664,143.55999755859375,143.7165069580078,331.8699951171875,182.6300048828125,170.43800354003906,119.52999877929688,148.13999938964844,145.39599609375,339.95001220703125,99310400,70726000,20824000,2876800,28400000,15998000
2022-01-05,172.9439697265625,164.35699462890625,121.16000366210938,143.8800048828125,137.77499389648438,324.1700134277344,174.9199981689453,164.35699462890625,121.16000366210938,143.8800048828125,137.77499389648438,324.1700134277344,180.1699981689453,167.12649536132812,126.62000274658203,150.25999450683594,144.49949645996094,335.760009765625,174.63999938964844,164.35699462890625,117.69999694824219,142.9499969482422,137.68800354003906,323.8399963378906,179.61000061035156,166.88299560546875,118.0,143.82000732421875,144.4199981689453,333.0199890136719,94537600,64302000,36651100,3505900,54618000,20564500
2022-01-06,170.05697631835938,163.25399780273438,126.62999725341797,150.75,137.74749755859375,332.4599914550781,172.0,163.25399780273438,126.62999725341797,150.75,137.74749755859375,332.4599914550781,175.3000030517578,164.8000030517578,128.39999389648438,153.0,139.94000244140625,339.1700134277344,171.63999938964844,161.93699645996094,123.46499633789062,144.41000366210938,136.55850219726562,322.7200012207031,172.6999969482422,163.45050048828125,124.26000213623047,146.1999969482422,136.99850463867188,322.82000732421875,96904000,51958000,32045800,3839000,37348000,27962800
2022-01-07,170.2250518798828,162.5540008544922,129.80999755859375,153.3300018310547,137.01699829101562,331.7900085449219,172.1699981689453,162.5540008544922,129.80999755859375,153.3300018310547,137.01699829101562,331.7900085449219,174.13999938964844,165.24349975585938,133.8800048828125,157.0,138.44850158691406,337.0,171.02999877929688,162.031005859375,128.17999267578125,152.27999877929688,135.76649475097656,328.8800048828125,172.88999938964844,163.83900451660156,130.24000549316406,152.97999572753906,138.14549255371094,332.739990234375,86709100,46606000,38113000,2752000,29760000,14722000
2022-01-10,170.24484252929688,161.48599243164062,128.3000030517578,152.36000061035156,138.66949462890625,328.07000732421875,172.19000244140625,161.48599243164062,128.3000030517578,152.36000061035156,138.66949462890625,328.07000732421875,172.5,161.6614990234375,132.60000610351562,155.77999877929688,138.8195037841797,328.3399963378906,168.1699981689453,156.30450439453125,126.2300033569336,150.3699951171875,133.1645050048828,315.42999267578125,169.0800018310547,160.5854949951172,131.99000549316406,154.9499969482422,135.0780029296875,325.30999755859375,106765600,87798000,23372200,2400700,44408000,24942400
2022-01-11,173.10220336914062,165.36199951171875,132.19000244140625,156.6999969482422,139.73599243164062,334.3699951171875,175.0800018310547,165.36199951171875,132.19000244140625,156.6999969482422,139.73599243164062,334.3699951171875,175.17999267578125,166.35000610351562,134.22999572753906,157.3300018310547,140.21600341796875,334.6300048828125,170.82000732421875,160.70150756835938,127.47000122070312,150.00999450683594,136.6925048828125,325.2799987792969,172.32000732421875,161.5,129.2100067138672,150.00999450683594,138.0070037841797,326.7799987792969,76138300,62806000,23616400,2869300,28730000,16226800
2022-01-12,173.54708862304688,165.20700073242188,137.41000366210938,159.36000061035156,141.4304962158203,333.260009765625,175.52999877929688,165.20700073242188,137.41000366210938,159.36000061035156,141.4304962158203,333.260009765625,177.17999267578125,166.8780059814453,138.6999969482422,161.99000549316406,142.60800170898438,336.3699951171875,174.82000732421875,164.41700744628906,135.5850067138672,157.39999389648438,140.6945037841797,330.0299987792969,176.1199951171875,166.5749969482422,136.02000427246094,159.77000427246094,141.14999389648438,335.17999267578125,74805200,50030000,25961100,2849100,26108000,14104900
2022-01-13,170.24484252929688,161.21400451660156,131.3699951171875,152.50999450683594,138.58700561523438,326.4800109863281,172.19000244140625,161.21400451660156,131.3699951171875,152.50999450683594,138.58700561523438,326.4800109863281,176.6199951171875,166.22149658203125,135.9199981689453,157.63999938964844,142.85000610351562,335.6300048828125,171.7899932861328,161.09100341796875,131.3000030517578,152.30999755859375,138.40899658203125,325.760009765625,175.77999877929688,165.25050354003906,135.1999969482422,155.6199951171875,141.5399932861328,334.9800109863281,84505800,52188000,19887700,3271600,31436000,14797100
2022-01-14,171.11489868164062,162.13800048828125,131.57000732421875,154.52999877929688,139.48049926757812,331.8999938964844,173.07000732421875,162.13800048828125,131.57000732421875,154.52999877929688,139.48049926757812,331.8999938964844,173.77999877929688,162.25,134.36000061035156,154.89999389648438,140.74200439453125,332.7300109863281,171.08999633789062,159.80050659179688,129.35000610351562,151.0,136.99850463867188,321.2099914550781,171.33999633789062,160.14999389648438,132.80999755859375,151.25999450683594,137.07899475097656,321.7900085449219,80440800,45974000,18614900,1907900,29662000,16868500
2022-01-18,167.88182067871094,158.91749572753906,128.60000610351562,152.94000244140625,135.9980010986328,318.1499938964844,169.8000030517578,158.91749572753906,128.60000610351562,152.94000244140625,135.9980010986328,318.1499938964844,172.5399932861328,159.7344970703125,132.1300048828125,157.42999267578125,137.13150024414062,324.2099914550781,169.41000366210938,157.6645050048828,124.81999969482422,149.61000061035156,135.43850708007812,317.6400146484375,171.50999450683594,159.10499572753906,126.2699966430664,150.94000244140625,136.1750030517578,323.2900085449219,90956700,67292000,26122200,3185400,34872000,22645600
2022-01-19,164.35214233398438,156.2989959716797,127.73999786376953,154.47999572753906,135.1165008544922,319.5899963378906,166.22999572753906,156.2989959716797,127.73999786376953,154.47999572753906,135.1165008544922,319.5899963378906,171.0800018310547,159.25,130.86000061035156,157.5,137.95950317382812,327.1000061035156,165.94000244140625,156.25,127.12999725341797,151.97000122070312,135.0155029296875,319.3299865722656,170.0,158.76199340820312,128.10000610351562,153.32000732421875,136.52349853515625,319.5799865722656,94815000,53242000,14665200,3322000,28648000,20814700
2022-01-20,162.65158081054688,151.66749572753906,131.02999877929688,162.02999877929688,133.3074951171875,316.55999755859375,164.50999450683594,151.66749572753906,131.02999877929688,162.02999877929688,133.3074951171875,316.55999755859375,169.67999267578125,158.0,136.75,165.02000427246094,137.62600708007812,327.82000732421875,164.17999267578125,151.3509979248047,130.67999267578125,160.77999877929688,132.96449279785156,315.9800109863281,166.97999572753906,156.76600646972656,135.77000427246094,162.9199981689453,136.25,323.8999938964844,91420500,71974000,28966400,6223300,29908000,16925000
2022-01-21,160.5753173828125,142.64300537109375,123.2300033569336,156.83999633789062,130.35150146484375,303.1700134277344,162.41000366210938,142.64300537109375,123.2300033569336,156.83999633789062,130.35150146484375,303.1700134277344,166.3300018310547,150.89999389648438,128.9600067138672,164.9600067138672,134.86549377441406,318.30999755859375,162.3000030517578,142.07049560546875,122.52100372314453,156.25999450683594,130.0865020751953,303.0400085449219,164.4199981689453,149.9499969482422,128.22999572753906,162.52999877929688,132.593505859375,314.80999755859375,122848900,163972000,26341400,5463900,55652000,28710700
2022-01-24,159.79425048828125,144.54400634765625,120.37000274658203,149.0500030517578,130.8040008544922,308.7099914550781,161.6199951171875,144.54400634765625,120.37000274658203,149.0500030517578,130.8040008544922,308.7099914550781,162.3000030517578,144.94500732421875,120.77999877929688,154.99000549316406,131.2030029296875,309.5299987792969,154.6999969482422,135.3520050048828,115.31999969482422,143.22000122070312,124.5,289.010009765625,160.02000427246094,139.0,119.31999969482422,154.99000549316406,125.97799682617188,297.8399963378906,162294600,155624000,28509300,6622200,76622000,38878100
2022-01-25,157.97500610351562,139.98599243164062,119.13999938964844,150.97000122070312,126.93499755859375,300.1499938964844,159.77999877929688,139.98599243164062,119.13999938964844,150.97000122070312,126.93499755859375,300.1499938964844,162.75999450683594,143.60000610351562,122.45999908447266,153.41000366210938,129.3990020751953,306.2300109863281,157.02000427246094,138.14500427246094,118.04000091552734,146.0500030517578,126.50050354003906,297.5799865722656,158.97999572753906,142.24249267578125,119.91000366210938,146.74000549316406,128.74000549316406,299.95001220703125,115798400,90824000,22224100,3767000,46960000,25108500
2022-01-26,157.8860321044922,138.87249755859375,113.37000274658203,148.3000030517578,129.23300170898438,294.6300048828125,159.69000244140625,138.87249755859375,113.37000274658203,148.3000030517578,129.23300170898438,294.6300048828125,164.38999938964844,145.18499755859375,120.93000030517578,154.0,133.0,307.510009765625,157.82000732421875,137.31849670410156,112.96199798583984,147.07000732421875,127.14199829101562,290.8500061035156,163.5,144.75,120.93000030517578,153.2100067138672,131.11900329589844,307.010009765625,108275300,95602000,27513200,2842400,49130000,28348800
2022-01-27,157.4213409423828,139.6374969482422,111.79000091552734,143.72999572753906,129.0050048828125,294.6400146484375,159.22000122070312,139.6374969482422,111.79000091552734,143.72999572753906,129.0050048828125,294.6400146484375,163.83999633789062,144.24349975585938,114.54000091552734,149.9499969482422,132.65249633789062,301.7099914550781,158.27999877929688,139.35000610351562,110.2699966430664,143.3699951171875,128.9324951171875,294.260009765625,162.4499969482422,140.8000030517578,113.11000061035156,148.00999450683594,131.3040008544922,297.75,121954600,77516000,21472700,2919500,31950000,21629900
